year,aldermanic,filings,orders,rental_units,filing_rate,order_rate
2016,1,1491,770,9738,15.311152187307457,7.9071677962620655
2016,2,1386,670,8831,15.69471181066697,7.586909749745216
2016,3,194,85,14096,1.37627695800227,0.6030079455164585
2016,4,792,417,18268,4.335449967155682,2.282680096343333
2016,5,674,297,7345,9.17631041524847,4.04356705241661
2016,6,1189,586,12298,9.66823873800618,4.765002439421044
2016,7,1068,528,8526,12.526389866291343,6.192821956368754
2016,8,488,247,6777,7.200826324332301,3.6446805371108155
2016,9,388,182,9014,4.304415353893943,2.019081428888396
2016,10,574,270,8770,6.545039908779931,3.0786773090079818
2016,11,195,94,6817,2.860495819275341,1.3789056769840107
2016,12,728,395,9953,7.3143775746006225,3.968652667537426
2016,13,186,81,5602,3.320242770439129,1.4459121742234915
2016,14,242,115,6982,3.466055571469493,1.647092523632197
2016,15,1424,743,10446,13.63201225349416,7.112770438445339
2017,1,1559,752,9856,15.817775974025974,7.629870129870129
2017,2,1522,633,8820,17.256235827664398,7.17687074829932
2017,3,169,79,14243,1.1865477778557887,0.5546584287018185
2017,4,910,448,18914,4.811250925240563,2.3686158401184305
2017,5,691,253,7289,9.480038414048567,3.470983674029359
2017,6,1272,611,12341,10.30710639332307,4.950976420063204
2017,7,1146,538,8558,13.390979200747838,6.286515541014255
2017,8,466,229,6872,6.781140861466822,3.3323632130384166
2017,9,420,174,9043,4.6444763905783475,1.9241402189538868
2017,10,645,274,8751,7.37058621871786,3.131070734773169
2017,11,221,91,6818,3.2414197711938986,1.3347022587268993
2017,12,794,385,10130,7.838104639684107,3.8005923000987165
2017,13,182,79,5623,3.236706384492264,1.4049439800818069
2017,14,204,91,6998,2.9151186053158047,1.3003715347242069
2017,15,1563,763,10384,15.052003081664097,7.347842835130971
2018,1,1619,713,9992,16.202962369895918,7.1357085668534825
2018,2,1544,652,8574,18.00793095404712,7.604385351061348
2018,3,163,59,14473,1.1262350583845782,0.4076556346300007
2018,4,1075,486,19749,5.443313585498,2.460884095397235
2018,5,683,279,7316,9.335702569710225,3.8135593220338984
2018,6,1209,567,12679,9.5354523227383865,4.4719615111601865
2018,7,1199,501,8609,13.927285399001047,5.819491230108027
2018,8,426,207,6915,6.160520607375272,2.9934924078091103
2018,9,358,146,9046,3.9575502984744637,1.6139730267521555
2018,10,594,279,8697,6.82994135908934,3.2080027595722664
2018,11,207,86,6793,3.0472545267186812,1.2660091270425438
2018,12,654,340,10502,6.227385259950485,3.2374785755094266
2018,13,202,91,5315,3.800564440263406,1.7121354656632175
2018,14,188,93,7124,2.6389668725435147,1.3054463784390793
2018,15,1508,650,10282,14.666407313752188,6.321727290410426
2019,1,1651,749,9965,16.567987957852484,7.5163070747616665
2019,2,1597,640,8582,18.608715917035656,7.45746912141692
2019,3,198,79,14534,1.362322829228017,0.5435530480253199
2019,4,1040,436,20274,5.129722797671895,2.1505376344086025
2019,5,653,232,7238,9.021829234595193,3.2053053329649077
2019,6,1284,566,12532,10.245770826683689,4.516437918927545
2019,7,1139,487,8591,13.258060761261786,5.6687230822954255
2019,8,424,200,6809,6.22705243060655,2.9372888823615804
2019,9,358,155,9073,3.9457731731511076,1.7083654799955914
2019,10,565,249,8655,6.528018486424032,2.876949740034662
2019,11,230,106,6705,3.43027591349739,1.580909768829232
2019,12,602,314,10748,5.60104205433569,2.9214737625604763
2019,13,179,88,5265,3.3998100664767335,1.6714150047483383
2019,14,175,86,7497,2.3342670401493932,1.147125516873416
2019,15,1444,599,10270,14.060370009737097,5.832521908471276
2020,1,1083,379,9987,10.844097326524482,3.7949334134374686
2020,2,926,239,8513,10.877481498884059,2.807470926817808
2020,3,126,50,14573,0.8646126398133536,0.34310025389418786
2020,4,560,189,20403,2.7446944076851443,0.9263343625937362
2020,5,416,84,7107,5.853383987617842,1.1819333051920642
2020,6,870,333,12420,7.004830917874397,2.681159420289855
2020,7,796,258,8476,9.391222274657858,3.0438886267107126
2020,8,337,122,6844,4.924021040327294,1.7825832846288718
2020,9,231,68,9033,2.5572899368980404,0.7527953060998561
2020,10,362,128,8566,4.2260098062106,1.494279710483306
2020,11,161,49,6652,2.4203247143716173,0.7366205652435358
2020,12,450,174,10823,4.157812066894576,1.6076873325325696
2020,13,153,51,5208,2.9377880184331797,0.9792626728110598
2020,14,128,50,7474,1.7126036928017125,0.668985817500669
2020,15,1013,349,10232,9.90031274433151,3.4108678655199376
2021,1,849,362,9928,8.55157131345689,3.646253021756648
2021,2,669,244,8417,7.948200071284306,2.8988950932636333
2021,3,121,50,14491,0.83500103512525,0.34504175005175625
2021,4,602,301,20347,2.958667125374748,1.479333562687374
2021,5,323,105,7024,4.598519362186789,1.494874715261959
2021,6,799,351,12318,6.486442604318883,2.8494885533365806
2021,7,798,276,8383,9.51926517953,3.292377430514136
2021,8,292,132,6776,4.309327036599764,1.948051948051948
2021,9,158,72,8992,1.75711743772242,0.800711743772242
2021,10,288,125,8442,3.411513859275053,1.4806917791992418
2021,11,143,54,6591,2.1696252465483234,0.8192990441511151
2021,12,480,233,10850,4.423963133640553,2.1474654377880187
2021,13,157,58,5156,3.0449961210240497,1.1249030256012413
2021,14,127,60,7425,1.7104377104377104,0.8080808080808081
2021,15,998,360,10183,9.800648139055289,3.5353039379357756
2022,1,1589,625,9810,16.19775739041794,6.3710499490316
2022,2,1604,580,8411,19.07026512899774,6.8957317798121505
2022,3,236,101,14337,1.646090534979424,0.7044709492920416
2022,4,915,427,20460,4.472140762463344,2.0869990224828934
2022,5,691,255,6891,10.027572195617472,3.7004788855028297
2022,6,1110,411,12278,9.040560351848836,3.347450724873758
2022,7,1025,390,8236,12.44536182612919,4.73530840213696
2022,8,483,230,6812,7.090428655314152,3.3763945977686434
2022,9,950,370,8909,10.663374116062409,4.153103603097991
2022,10,659,263,8352,7.890325670498084,3.148946360153257
2022,11,217,86,6545,3.3155080213903747,1.3139801375095492
2022,12,681,311,11207,6.076559293298831,2.7750513072187024
2022,13,237,91,5114,4.63433711380524,1.7794290183809154
2022,14,197,89,7308,2.6956759715380403,1.2178434592227696
2022,15,1242,511,10325,12.029055690072639,4.949152542372881
2023,1,1566,518,9724,16.104483751542574,5.32702591526121
2023,2,1727,528,8375,20.62089552238806,6.304477611940299
2023,3,224,84,14395,1.5560958666203544,0.5835359499826329
2023,4,903,347,20444,4.416943846605361,1.6973195069458034
2023,5,731,196,6847,10.676208558492771,2.862567547831167
2023,6,1007,325,12232,8.232504905166776,2.656965336821452
2023,7,942,304,8148,11.561119293078056,3.7309769268532156
2023,8,404,144,6844,5.902980713033314,2.104032729398013
2023,9,1263,361,8884,14.216569113012156,4.063484916704187
2023,10,683,232,8332,8.197311569851177,2.784445511281805
2023,11,199,60,6535,3.045141545524101,0.9181331293037491
2023,12,591,216,11236,5.259878960484158,1.9223923104307583
2023,13,171,51,5103,3.3509700176366843,0.9994121105232217
2023,14,157,54,7348,2.13663581927055,0.7348938486663037
2023,15,1101,364,10337,10.651059301538163,3.521331140563026
