year,aldermanic,violations,orders,rental_units,violation_rate,order_rate
2017,1,6472,1215,10494,61.673337145035255,11.578044596912521
2017,2,1665,548,8820,18.877551020408163,6.213151927437642
2017,3,1872,567,14883,12.578109252166902,3.8097157831082447
2017,4,2302,579,19165,12.011479259066006,3.0211322723715104
2017,5,969,355,7290,13.292181069958847,4.869684499314129
2017,6,11659,1652,12390,94.1000807102502,13.333333333333334
2017,7,4864,937,8558,56.83570927786866,10.94881981771442
2017,8,2432,736,6972,34.88238668961561,10.55651176133104
2017,9,1344,442,9046,14.85739553393765,4.886137519345567
2017,10,2887,765,8871,32.54424529365348,8.623605005072708
2017,11,1045,392,6818,15.32707538867703,5.749486652977413
2017,12,4871,1284,10130,48.084896347482726,12.675222112537018
2017,13,825,313,5623,14.67188333629735,5.566423617286146
2017,14,1921,871,7108,27.025886325267308,12.253798536859877
2017,15,7982,1365,10384,76.86825885978429,13.14522342064715
2018,1,4849,986,10630,45.616180620884286,9.27563499529633
2018,2,1898,670,8574,22.136692325635643,7.81432236995568
2018,3,987,400,15113,6.530801296896711,2.6467279825315955
2018,4,2238,580,20000,11.19,2.9000000000000004
2018,5,1619,739,7317,22.126554598879324,10.099767664343311
2018,6,9913,1516,12728,77.88340666247643,11.910747957259584
2018,7,4309,834,8609,50.052270879312346,9.687536299221746
2018,8,2326,706,7015,33.15751960085531,10.064148253741982
2018,9,1044,383,9050,11.535911602209945,4.232044198895028
2018,10,3091,890,8817,35.057275717364185,10.094136327549052
2018,11,1855,717,6793,27.30752244958045,10.554983070808186
2018,12,4769,1354,10502,45.41039801942487,12.892782327175775
2018,13,1158,499,5315,21.78739416745061,9.388523047977422
2018,14,1809,786,7234,25.006911805363565,10.865358031517832
2018,15,6534,1252,10282,63.54794787006419,12.176619334759774
2019,1,4082,913,10603,38.498538149580305,8.610770536640572
2019,2,1817,557,8582,21.172220927522723,6.490328594733162
2019,3,1305,610,15174,8.600237247924081,4.020034269144589
2019,4,2365,694,20525,11.522533495736905,3.381242387332521
2019,5,704,292,7239,9.72510015195469,4.033706313026661
2019,6,6096,1107,12581,48.454017963595895,8.798982592798664
2019,7,4055,815,8591,47.20055872424631,9.48667209870795
2019,8,2567,915,6909,37.154436242582136,13.243595310464611
2019,9,992,309,9077,10.928720943042855,3.4042084389115344
2019,10,3016,933,8775,34.37037037037037,10.632478632478632
2019,11,1324,455,6705,19.74645786726324,6.785980611483968
2019,12,4753,1631,10748,44.222180870859695,15.174916263490882
2019,13,1089,421,5595,19.463806970509385,7.524575513851653
2019,14,1227,451,7607,16.129880373340345,5.928749835677665
2019,15,5912,1196,10270,57.565725413826684,11.645569620253164
2020,1,3081,709,10625,28.997647058823528,6.672941176470588
2020,2,1706,520,8513,20.039938916950543,6.108304945377658
2020,3,650,328,15213,4.272661539472819,2.156050746072438
2020,4,1324,418,20654,6.410380555824538,2.0238210516122788
2020,5,943,411,7108,13.266741699493528,5.782217220033765
2020,6,4336,879,12589,34.44276749543252,6.982286122805624
2020,7,3210,714,8476,37.8716375648891,8.423784804152902
2020,8,1344,553,6944,19.35483870967742,7.963709677419355
2020,9,879,371,9037,9.72667920770167,4.105344694035631
2020,10,2131,572,8686,24.533732443011743,6.585309693760073
2020,11,1475,490,6652,22.173782321106433,7.366205652435358
2020,12,2524,949,10823,23.320705904093135,8.768363669962117
2020,13,1176,398,5538,21.23510292524377,7.186710003611411
2020,14,881,383,7584,11.6165611814346,5.050105485232067
2020,15,3954,800,10232,38.643471462079745,7.818608287724785
2021,1,4209,946,10566,39.83532084043157,8.953246261593792
2021,2,2046,783,8417,24.307948200071284,9.30260187715338
2021,3,1041,475,15131,6.879915405458991,3.139250545238253
2021,4,1428,496,20598,6.932711913778037,2.4080007767744442
2021,5,1439,583,7025,20.483985765124554,8.298932384341636
2021,6,5367,1120,12487,42.980699927925045,8.969328101225274
2021,7,3594,855,8383,42.87248001908625,10.199212692353573
2021,8,2015,711,6876,29.30482838859802,10.340314136125654
2021,9,855,339,8995,9.505280711506392,3.7687604224569204
2021,10,2271,783,8562,26.524176594253678,9.145059565522075
2021,11,1262,562,6591,19.14732210590199,8.526778940980124
2021,12,2600,899,10850,23.963133640552993,8.285714285714285
2021,13,1022,429,5486,18.62923806051768,7.819905213270142
2021,14,1076,449,7535,14.280026542800265,5.958858659588587
2021,15,4667,965,10183,45.83128743985073,9.476578611411176
2022,1,2917,706,10448,27.919218989280242,6.757274119448699
2022,2,2201,690,8411,26.168113185114734,8.203542979431697
2022,3,1139,523,14977,7.604994324631101,3.492021099018495
2022,4,1911,661,20711,9.226980831442228,3.191540727149824
2022,5,1417,524,6892,20.56006964596634,7.603017991874637
2022,6,4662,1016,12447,37.45480838756327,8.162609464127902
